"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 23:20:36 IST 2024","Sun Apr 21 23:20:37 IST 2024","515","test","test_HomePage","TestHomePage","","","test_formSubmission[getdata1]",""
"passed","Sun Apr 21 23:20:42 IST 2024","Sun Apr 21 23:20:49 IST 2024","7632","test","test_e2e","TestOne","","","test_e2e",""
"passed","Sun Apr 21 23:20:37 IST 2024","Sun Apr 21 23:20:37 IST 2024","479","test","test_HomePage","TestHomePage","","","test_formSubmission[getdata0]",""
